frame,person_id,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0,0.6622058749198914,0.8616058826446533,-0.9868877530097961,0.9982119798660278,0.6770739555358887,0.811120867729187,-0.9576137661933899,0.9980552196502686,0.6874443292617798,0.8100517392158508,-0.9578655362129211,0.9981715679168701,0.6986960172653198,0.809602677822113,-0.9580666422843933,0.9977987408638,0.6410612463951111,0.8134518265724182,-0.9662124514579773,0.998112678527832,0.6275305151939392,0.8141175508499146,-0.9664818048477173,0.9982041120529175,0.6145306825637817,0.8154172897338867,-0.9667047262191772,0.9980061650276184,0.7155888080596924,0.8224409818649292,-0.639615535736084,0.9984583854675293,0.5941380262374878,0.8284593224525452,-0.6785132884979248,0.9981884360313416,0.6796162724494934,0.9058749675750732,-0.8528750538825989,0.9966596364974976,0.6398453116416931,0.9053757190704346,-0.8650294542312622,0.9966664910316467,0.7934871912002563,0.9811049103736877,-0.3649570047855377,0.9614844918251038,0.5146058201789856,0.9587393403053284,-0.3825873136520386,0.9599180817604065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.6616467833518982,0.8558825254440308,-0.9048956036567688,0.9983779788017273,0.6770894527435303,0.8059806227684021,-0.8881848454475403,0.9982099533081055,0.6875926852226257,0.8045254349708557,-0.8881138563156128,0.998327374458313,0.6988232731819153,0.8036386966705322,-0.8881972432136536,0.9979724287986755,0.6403795480728149,0.8089271783828735,-0.8899030685424805,0.9982671141624451,0.6266645193099976,0.8097912669181824,-0.8894168734550476,0.9983598589897156,0.6140739917755127,0.810819685459137,-0.889548659324646,0.9981693625450134,0.7162305116653442,0.8162463903427124,-0.6327148675918579,0.9985795617103577,0.5944196581840515,0.820807158946991,-0.6267029047012329,0.9983530044555664,0.679831862449646,0.90046626329422,-0.7979819178581238,0.9969760775566101,0.6387695074081421,0.9004753232002258,-0.7957079410552979,0.9969862103462219,0.8042887449264526,0.9810832738876343,-0.3648873567581177,0.9651387929916382,0.5136727094650269,0.9595385789871216,-0.3887310028076172,0.9638025164604187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.6614872217178345,0.8502344489097595,-0.8340714573860168,0.9984734058380127,0.6773985624313354,0.8018460869789124,-0.8170973062515259,0.9982108473777771,0.6882175207138062,0.8004934787750244,-0.8170436024665833,0.9983611702919006,0.6994457244873047,0.7996371984481812,-0.8171704411506653,0.99797123670578,0.6402585506439209,0.8040794730186462,-0.8199092745780945,0.9982903599739075,0.6264157295227051,0.8046194314956665,-0.8194125890731812,0.9984106421470642,0.613969087600708,0.8050765991210938,-0.8195781707763672,0.9982045888900757,0.7170091867446899,0.8128340840339661,-0.5752583742141724,0.9985566139221191,0.5945008397102356,0.8133422136306763,-0.5688707232475281,0.9984352588653564,0.6801470518112183,0.8957750201225281,-0.7306959629058838,0.9971898794174194,0.6381252408027649,0.8941395878791809,-0.7294689416885376,0.997228741645813,0.8064247369766235,0.9808495044708252,-0.3350868821144104,0.967995285987854,0.5131921768188477,0.9595391750335693,-0.3654957413673401,0.9670807123184204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.6594212651252747,0.8459577560424805,-0.8194435834884644,0.9985657334327698,0.6770951151847839,0.7993384599685669,-0.7981897592544556,0.9982340931892395,0.6881565451622009,0.7980982661247253,-0.7982295155525208,0.9984095096588135,0.6993775367736816,0.7973617315292358,-0.7984352707862854,0.9979977607727051,0.6385902762413025,0.8014345169067383,-0.7986949682235718,0.9983209371566772,0.6246711015701294,0.8018870949745178,-0.7981818914413452,0.9984667301177979,0.61298668384552,0.8022857308387756,-0.7983912229537964,0.998253583908081,0.7171993255615234,0.8106598258018494,-0.5437570810317993,0.9985725283622742,0.5945301651954651,0.8104671239852905,-0.5271891355514526,0.9985215663909912,0.6799677610397339,0.8919435143470764,-0.7122002840042114,0.9974083304405212,0.6356001496315002,0.8898889422416687,-0.7082033753395081,0.9974619746208191,0.8106499910354614,0.9810428619384766,-0.31289511919021606,0.970764696598053,0.5129189491271973,0.959814727306366,-0.32679125666618347,0.9701628088951111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.6588774919509888,0.8416497707366943,-0.8576478958129883,0.9986591339111328,0.6770033240318298,0.7960529923439026,-0.8349317312240601,0.9982816576957703,0.6881451606750488,0.7948620319366455,-0.8350167274475098,0.9984773397445679,0.6993560194969177,0.7942182421684265,-0.8352028727531433,0.9980568289756775,0.6378289461135864,0.7982816100120544,-0.8374905586242676,0.9983656406402588,0.623880922794342,0.7989418506622314,-0.8370507955551147,0.9985299706459045,0.6125121116638184,0.7996008396148682,-0.8372550010681152,0.9983044862747192,0.7171992659568787,0.8078909516334534,-0.5673709511756897,0.9986181855201721,0.5945651531219482,0.8086202144622803,-0.5622941255569458,0.9986048936843872,0.6799766421318054,0.8879411816596985,-0.7454417943954468,0.9976146221160889,0.6347633600234985,0.8859350085258484,-0.744779646396637,0.9976731538772583,0.8119842410087585,0.9800338745117188,-0.32354506850242615,0.9732441306114197,0.512816846370697,0.9599452614784241,-0.3404272198677063,0.9728003144264221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.6579403877258301,0.8348339796066284,-0.7910058498382568,0.9987351894378662,0.676580548286438,0.7902669310569763,-0.7655808329582214,0.9982964992523193,0.6879765391349792,0.7892457842826843,-0.7656757831573486,0.9985294938087463,0.6990818381309509,0.7888267040252686,-0.7658922672271729,0.9980878233909607,0.6369798183441162,0.792579710483551,-0.768957257270813,0.998378336429596,0.6231550574302673,0.7936899065971375,-0.7684270143508911,0.9985768795013428,0.612122118473053,0.7947413325309753,-0.7686154842376709,0.9983305335044861,0.7168800830841064,0.8025866150856018,-0.5070851445198059,0.9986488223075867,0.5945684909820557,0.8047199845314026,-0.5028089284896851,0.9986758232116699,0.679946780204773,0.8801151514053345,-0.6839042901992798,0.9977936148643494,0.633883535861969,0.8788949847221375,-0.6832431554794312,0.9978591203689575,0.8122216463088989,0.9787673354148865,-0.28019243478775024,0.9755485653877258,0.5128237009048462,0.9597726464271545,-0.31465545296669006,0.9752529859542847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.6574274897575378,0.8324698209762573,-0.7862862944602966,0.9988375306129456,0.6763940453529358,0.7877839803695679,-0.7633293867111206,0.9983959197998047,0.6879319548606873,0.7868273854255676,-0.7633472681045532,0.9986282587051392,0.6989971995353699,0.786471426486969,-0.7635175585746765,0.9982045888900757,0.6364854574203491,0.789790689945221,-0.7658085823059082,0.9984725713729858,0.6227196455001831,0.7908765077590942,-0.765237033367157,0.9986686110496521,0.6118720769882202,0.7919003963470459,-0.7653912305831909,0.9984251856803894,0.7167525887489319,0.7998881936073303,-0.5119375586509705,0.9987328052520752,0.5945669412612915,0.8021137118339539,-0.5044357776641846,0.9987720251083374,0.6799022555351257,0.8770542740821838,-0.6816953420639038,0.9979856610298157,0.6334196329116821,0.8759403228759766,-0.6800023317337036,0.9980489611625671,0.8130529522895813,0.9771165251731873,-0.28670817613601685,0.9777780771255493,0.5128294229507446,0.959713876247406,-0.31399184465408325,0.9775258898735046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.6570729613304138,0.8311801552772522,-0.8019124269485474,0.9989360570907593,0.6762474775314331,0.7865200042724609,-0.7781057357788086,0.9985043406486511,0.687882661819458,0.7856428623199463,-0.7781135439872742,0.9987311363220215,0.6989022493362427,0.7854020595550537,-0.7782918810844421,0.9983299374580383,0.636151909828186,0.7883735299110413,-0.7816849946975708,0.9985759258270264,0.6224199533462524,0.7894391417503357,-0.7811194062232971,0.9987664222717285,0.6117016077041626,0.7904731631278992,-0.7812601327896118,0.9985308051109314,0.7166935205459595,0.7987015843391418,-0.5214114785194397,0.9988222718238831,0.5945687890052795,0.8006636500358582,-0.519561767578125,0.9988707900047302,0.6798707246780396,0.8752444386482239,-0.69521164894104,0.9981673359870911,0.6330215334892273,0.8743880987167358,-0.6951450705528259,0.9982278943061829,0.8125776052474976,0.9733995199203491,-0.2926134467124939,0.9798558950424194,0.5127965211868286,0.9594836831092834,-0.3238062262535095,0.9796395301818848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.6569172143936157,0.8288240432739258,-0.8083874583244324,0.9990068078041077,0.6761288046836853,0.784578263759613,-0.7851883769035339,0.9985392093658447,0.6878014802932739,0.783715009689331,-0.7851945161819458,0.998781144618988,0.6986951231956482,0.7834368348121643,-0.7853270769119263,0.9983667731285095,0.6359465718269348,0.7863011956214905,-0.7892687320709229,0.9986169934272766,0.6222027540206909,0.787335216999054,-0.7887521386146545,0.9988192319869995,0.6115775108337402,0.7883718609809875,-0.7889277935028076,0.9985724687576294,0.7158700227737427,0.7971552610397339,-0.5309156179428101,0.9988440275192261,0.594544529914856,0.7990055680274963,-0.5318303108215332,0.9989343285560608,0.6798559427261353,0.8729301691055298,-0.7031673789024353,0.9983026385307312,0.6328610181808472,0.8723161220550537,-0.703779399394989,0.9983721971511841,0.8119360208511353,0.9708535075187683,-0.293016642332077,0.9815129041671753,0.5127808451652527,0.9594300985336304,-0.3244868814945221,0.9814370274543762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.6568184494972229,0.8278259634971619,-0.9001752734184265,0.9990583658218384,0.6760005950927734,0.7836195826530457,-0.8763373494148254,0.9985371828079224,0.6876810193061829,0.7826499342918396,-0.8762887120246887,0.9987902045249939,0.6984294652938843,0.7822584509849548,-0.876386821269989,0.9983333349227905,0.6358349919319153,0.7855474948883057,-0.8805420994758606,0.9986403584480286,0.622130274772644,0.7865877747535706,-0.8801233172416687,0.9988558888435364,0.6115497350692749,0.7876114249229431,-0.8803507685661316,0.9986048936843872,0.7151819467544556,0.7961816191673279,-0.6087309122085571,0.9987925291061401,0.5945495963096619,0.7982783913612366,-0.6101926565170288,0.9989913702011108,0.6798561215400696,0.8714367747306824,-0.7899562120437622,0.998409628868103,0.6328158974647522,0.8708062767982483,-0.790346086025238,0.998500406742096,0.809836208820343,0.9678306579589844,-0.33877214789390564,0.9827514290809631,0.5128135085105896,0.9591552019119263,-0.40659603476524353,0.9830580353736877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
